Restaurant ,City,State,Nationality 
Brainsphere,Clearwater,Florida,Taiwanese
Trilith,San Diego,California,Uruguayan
Meevee,Dallas,Texas,Salvadorian
McBurger Wendys,Sarasota,Florida,Dominican
Kebab Palace Smith's Grill,Orange,California,Estonian
Osaka Bay Fishery,Baton Rouge,Louisiana,Ethiopian
Horohito's Crab Shack King's,Sparks,Nevada,Chilean
Twinder,Austin,Texas,Russian
Yodoo,Cape Coral,Florida,Haitian
Tagtune,Raleigh,North Carolina,Vietnamese
Rooxo,Des Moines,Iowa,Haitian
Brainverse,Trenton,New Jersey,Taiwanese
Yambee,Bakersfield,California,Canadian
Piast,Anchorage,Alaska,Puerto Rican
Som Gud Fud Chinese Food,Pittsburgh,Pennsylvania,Portuguese
Wordware,Fort Myers,Florida,Australian
Trudeo,Omaha,Nebraska,Ghanaian
Jersey Burger,Hampton,Virginia,Turkish
Igor's Vodka Shack,Lexington,Kentucky,American *
Digitube,Tacoma,Washington,Australian
Skilith,East Saint Louis,Illinois,Salvadorian
Yakidoo,Decatur,Georgia,Iranian
Sushi Emporium,Sioux Falls,South Dakota,Romanian
Sushi Emporium,Denver,Colorado,English
DabZ,Houston,Texas,American *
Dabshots,Tucson,Arizona,Peruvian
Skyble,York,Pennsylvania,Taiwanese
Wordify,Washington,District of Columbia,Salvadorian
Yakidoo,Erie,Pennsylvania,Russian
Fivechat,Cleveland,Ohio,Portuguese
Brightdog,Chesapeake,Virginia,Cameroonian
Zooxo,Miami,Florida,Welsh
Fanoodle,Spokane,Washington,Dominican
Gabcube,Irvine,California,Swedish
Ruski Food Bazar,Chicago,Illinois,Costa Rican
Topicstorm,Syracuse,New York,Lithuanian
Browseblab,Lexington,Kentucky,Iranian
Topicware,Rockville,Maryland,Argentine / Argentinean
Mydeo,Santa Monica,California,Chinese
Feedspan,Lake Charles,Louisiana,Irish
Topicware,Pasadena,California,American *
Plajo,Tucson,Arizona,Afghan
Rhycero,Columbus,Ohio,Belgian
Trudeo,San Jose,California,Saudi
Brainverse,Shawnee Mission,Kansas,French
Edgetag,Stamford,Connecticut,Salvadorian
Fliptune,Vancouver,Washington,Lithuanian
Kanoodle,Worcester,Massachusetts,Finnish
Skimia,Peoria,Arizona,American *
Photobug,Washington,District of Columbia,Japanese
Photobug,New Castle,Pennsylvania,Guatemalan
The Curry Shack,Albuquerque,New Mexico,Ghanaian
Skiba,Houston,Texas,Venezuelan
Feedmix,Houston,Texas,Korean
Jabbersphere,Austin,Texas,New Zealander
Twitterbeat,Houston,Texas,Vietnamese
McBurger Wendys,Inglewood,California,Cambodian
Tagcat,Tucson,Arizona,Egyptian
Meevee,Minneapolis,Minnesota,Portuguese
Digitube,Northridge,California,Cambodian
Skilith,Evansville,Indiana,Cambodian
Voonix,Fort Worth,Texas,Estonian
Meevee,Flint,Michigan,Kenyan
The Curry Shack,Tampa,Florida,Ghanaian
McBurger Wendys,Spokane,Washington,Jordanian
Halal Palace,El Paso,Texas,Turkish
Horohito's Crab Shack King's,Los Angeles,California,Puerto Rican
Lazzy,Atlanta,Georgia,New Zealander
Igor's Vodka Shack,San Francisco,California,Uruguayan
Vidoo,Minneapolis,Minnesota,Australian
Fanoodle,Indianapolis,Indiana,Laotian
Meevee,Raleigh,North Carolina,Irish
Feedmix,Oklahoma City,Oklahoma,Salvadorian
Realcube,Dulles,Virginia,Ecuadorian
Rhycero,Columbia,South Carolina,Panamanian
The Curry Shack,Valley Forge,Pennsylvania,Chilean
Ntags,Saint Augustine,Florida,English
Takeout Outfront stakehouse,Athens,Georgia,Egyptian
Jersey Burger,Saint Cloud,Minnesota,Ethiopian
Twitterbeat,Fresno,California,Chinese
Feedspan,Shreveport,Louisiana,Lithuanian
Linkbuzz,Jacksonville,Florida,Guatemalan
McBurger Wendys,Brooklyn,New York,Kenyan
Halal Palace,Austin,Texas,Moroccan
Pixonyx,Houston,Texas,Brazilian
Tekfly,Garland,Texas,Ghanaian
Edgeify,Knoxville,Tennessee,Welsh
Piast,Fresno,California,Finnish
Jabbersphere,Honolulu,Hawaii,Mexican
Fanoodle,Kansas City,Missouri,Romanian
Youtags,Winston Salem,North Carolina,Bolivian
Igor's Vodka Shack,Norman,Oklahoma,Egyptian
Trilith,Santa Barbara,California,Egyptian
Bubblemix,Las Vegas,Nevada,Israeli
Halal Palace,Oklahoma City,Oklahoma,Australian
Igor's Vodka Shack,Dallas,Texas,Egyptian
Bubblemix,Shawnee Mission,Kansas,Australian
Ntags,Albany,New York,Ukrainian
Wordify,Charlotte,North Carolina,Indonesian
Som Gud Fud Chinese Food,Grand Junction,Colorado,Cuban
Digitube,Northridge,California,Jordanian
Meevee,Norfolk,Virginia,German
Yambee,Albuquerque,New Mexico,Afghan
Mybuzz,Miami,Florida,Honduran
Sushi Emporium,Salt Lake City,Utah,Portuguese
McBurger Wendys,Duluth,Minnesota,Afghan
Thoughtmix,Harrisburg,Pennsylvania,Cuban
Tagopia,Evansville,Indiana,Costa Rican
Realcube,Washington,District of Columbia,Guatemalan
Yodel,Irving,Texas,Egyptian
Linktype,Fort Worth,Texas,Dutch
Brightdog,Tallahassee,Florida,Norwegian
Snaptags,Chicago,Illinois,Greek
Burger Queen,Omaha,Nebraska,Spanish
Halal Palace,Birmingham,Alabama,Iranian
Fivechat,Brooklyn,New York,Polish
Yodoo,Glendale,California,Indonesian
Osaka Bay Fishery,Houston,Texas,Cuban
Skilith,Fort Worth,Texas,Romanian
Thoughtsphere,Tacoma,Washington,Thai
Edgeify,Charlotte,North Carolina,Norwegian
Pixope,Jacksonville,Florida,Romanian
Zoonoodle,Mansfield,Ohio,Salvadorian
Fanoodle,Dayton,Ohio,Ecuadorian
Digitube,Largo,Florida,Venezuelan
South Border Tacos,Naples,Florida,Colombian
Feedspan,Johnstown,Pennsylvania,Salvadorian
Piast,Springfield,Massachusetts,Estonian
Thoughtmix,Spokane,Washington,New Zealander
Takeout Outfront stakehouse,Baltimore,Maryland,Lithuanian
DabZ,Cincinnati,Ohio,Israeli
Lazzy,Pittsburgh,Pennsylvania,Guatemalan
Realcube,Moreno Valley,California,Uruguayan
Gud Fud Chinese Food,Spokane,Washington,Saudi
Tokyo Fish,Akron,Ohio,French
Sushi Emporium,Salt Lake City,Utah,Puerto Rican
Flashpoint,Atlanta,Georgia,Dutch
Vinder,Rockville,Maryland,Dominican
Sushi Emporium,Cincinnati,Ohio,Ukrainian
Yodel,San Antonio,Texas,Israeli
Livefish,Denton,Texas,German
Linktype,Milwaukee,Wisconsin,Iranian
Linkbuzz,Chicago,Illinois,French
Realcube,Pomona,California,Filipino
Devpulse,Los Angeles,California,Venezuelan
Feedmix,San Francisco,California,Japanese
Tekfly,Sacramento,California,German
Takeout Outfront stakehouse,Pensacola,Florida,Peruvian
Demimbu,Cincinnati,Ohio,Welsh
Halal Palace,Vero Beach,Florida,Finnish
Vinder,Melbourne,Florida,Filipino
Takeout Outfront stakehouse,Las Vegas,Nevada,Swedish
Piast,Washington,District of Columbia,Irish
Brightdog,Billings,Montana,Nicaraguan
Mafioso Pizza Som,Huntington,West Virginia,Finnish
Takeout Outfront stakehouse,Winston Salem,North Carolina,Dutch
Flashpoint,Anchorage,Alaska,Laotian
Jersey Burger,New York City,New York,Swiss
Jersey Burger,Sacramento,California,Ghanaian
Mafioso Pizza,Springfield,Missouri,Vietnamese
Burger Queen,Zephyrhills,Florida,Turkish
Halal Palace,New York City,New York,Afghan
South Border Tacos,Kalamazoo,Michigan,Greek
Kebab Palace Smith's Grill,Bellevue,Washington,Korean
Rhycero,Fort Wayne,Indiana,Latvian
Linktype,Albuquerque,New Mexico,Haitian
Tekfly,Charleston,West Virginia,Welsh
Brainsphere,Kansas City,Missouri,French
Jetpulse,South Bend,Indiana,Argentine / Argentinean
Tokyo Fish,Redwood City,California,Japanese
Skalith,Washington,District of Columbia,Finnish
Mafioso Pizza,Winston Salem,North Carolina,Ukrainian
Igor's Vodka Shack,Seattle,Washington,Venezuelan
South Border Tacos,Denver,Colorado,Turkish
Mymm,Bradenton,Florida,Kenyan
Trudeo,Young America,Minnesota,Nicaraguan
Meevee,Glendale,Arizona,Guatemalan
Kazu,El Paso,Texas,Italian
Npath,Salt Lake City,Utah,Ukrainian
Skalith,Cincinnati,Ohio,Guatemalan
Horohito's Crab Shack King's,Nashville,Tennessee,Finnish
Yodoo,Hollywood,Florida,American *
Yambee,Atlanta,Georgia,Romanian
Igor's Vodka Shack,Dallas,Texas,Guatemalan
Jersey Burger,Amarillo,Texas,Cameroonian
Dabshots,Modesto,California,Egyptian
Takeout Outfront stakehouse,Rochester,New York,Polish
Geba,Sacramento,California,Colombian
The Curry Shack,Toledo,Ohio,Cambodian
